context,response
¿Qué es Charmander?,Es el Pokémon inicial de tipo fuego de Kanto
¿Cuál es el tipo de Pikachu?,Eléctrico
¿Qué es Ivysaur?,La primera evolución de Bulbasaur
¿Cómo se identifica a Pikachu?,Identificado como el Pokémon Ratón
¿Qué tipo de Pokémon es Articuno?,El legendario de hielo de Kanto
¿Cuáles son los tipos de Gyarados?,Agua/Volador
¿Qué es Totodile?,El inicial de agua de Johto
¿Cómo se conoce a Charizard?,Conocido como el Pokémon Llama
¿Qué es Vaporeon?,La evolución tipo agua de Eevee
¿Cómo se conoce a Clefairy?,Conocido como el Pokémon de la Luna
